Class Name,Instance Side Definition,Class Side Definition
DateAndTime,"Magnitude subclass: #DateAndTime 	instanceVariableNames: 'seconds offset julianDayNumber nanos' 	classVariableNames: 'ClockProvider LocalTimeZone' 	poolDictionaries: 'ChronologyConstants' 	category: 'Kernel-Chronology'","DateAndTime class 	instanceVariableNames: ''"
NullCanvas,"PluggableCanvas subclass: #NullCanvas 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Graphics-Canvas'","NullCanvas class 	instanceVariableNames: ''"
LGitOpenFlagEnum,"LGitExternalEnumerationUInt32 subclass: #LGitOpenFlagEnum 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Enums'","LGitOpenFlagEnum class 	instanceVariableNames: ''"
GTSpotterHelp,"CustomHelp subclass: #GTSpotterHelp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter-Help'","GTSpotterHelp class 	instanceVariableNames: ''"
EpMonticelloVersionsLoad,"EpEvent subclass: #EpMonticelloVersionsLoad 	instanceVariableNames: 'versionNames' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Epicea-Model'","EpMonticelloVersionsLoad class 	instanceVariableNames: ''"
LGitPackbuilderForeachPayload,"LGitExternalStructure subclass: #LGitPackbuilderForeachPayload 	instanceVariableNames: '' 	classVariableNames: 'OFFSET_PRIM_PROGRESS_CB OFFSET_PRIM_PROGRESS_PAYLOAD OFFSET_PRIM_STATS OFFSET_PRIM_WRITEPACK' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Structs'","LGitPackbuilderForeachPayload class 	instanceVariableNames: ''"
RGTraitDefinitionTest,"TestCase subclass: #RGTraitDefinitionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Tests-Kernel'","RGTraitDefinitionTest class 	instanceVariableNames: ''"
ClassFactoryForTestCaseTest,"TestCase subclass: #ClassFactoryForTestCaseTest 	instanceVariableNames: 'factory' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","ClassFactoryForTestCaseTest class 	instanceVariableNames: ''"
ClassListExample,"MorphTreeModel subclass: #ClassListExample 	instanceVariableNames: 'rootClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Examples-MorphTreeWidget'","ClassListExample class 	instanceVariableNames: ''"
GZipReadStream,"FastInflateStream subclass: #GZipReadStream 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'GZipConstants' 	category: 'Compression-Streams'","GZipReadStream class 	instanceVariableNames: ''"
KomitMethodNode,"KomitLeaf subclass: #KomitMethodNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Komitter-UI'","KomitMethodNode class 	instanceVariableNames: ''"
BadEqualer,"Object subclass: #BadEqualer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","BadEqualer class 	instanceVariableNames: ''"
RBReplaceRule,"RBParseTreeRule subclass: #RBReplaceRule 	instanceVariableNames: 'verificationBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Matching'","RBReplaceRule class 	instanceVariableNames: ''"
LGitSafeFFICalloutAPI,"FFICalloutAPI subclass: #LGitSafeFFICalloutAPI 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Handling'","LGitSafeFFICalloutAPI class 	instanceVariableNames: ''"
MCPackageManagerTest,"MCTestCase subclass: #MCPackageManagerTest 	instanceVariableNames: 'package2 package1' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Tests'","MCPackageManagerTest class 	instanceVariableNames: ''"
RBTransformationRule,"RBLintRule subclass: #RBTransformationRule 	instanceVariableNames: 'rewriteRule builder class' 	classVariableNames: 'RecursiveSelfRule' 	poolDictionaries: '' 	category: 'Refactoring-Critics'","RBTransformationRule class 	instanceVariableNames: ''"
TxLineSeparator,"TxSpanWithStyle subclass: #TxLineSeparator 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-Model'","TxLineSeparator class 	instanceVariableNames: ''"
RubWorkspaceBar,"RubScrolledTextSideRuler subclass: #RubWorkspaceBar 	instanceVariableNames: 'row wrappingPolicyMorph editingModeMorph lineNumbersDisplayMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Workspace'","RubWorkspaceBar class 	instanceVariableNames: ''"
GLMFinder,"GLMImplicitBrowser subclass: #GLMFinder 	instanceVariableNames: 'hasFixedSizePanes fixedSizePanes lastActivePresentation firstTransmission' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Browsers-Other'","GLMFinder class 	instanceVariableNames: ''"
OCScopesCollector,"RBProgramNodeVisitor subclass: #OCScopesCollector 	instanceVariableNames: 'scopes' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-AST'","OCScopesCollector class 	instanceVariableNames: ''"
PreDebugSubclassResponsabilityAction,"SubclassResponsabilityDebugAction subclass: #PreDebugSubclassResponsabilityAction 	instanceVariableNames: 'preDebugWindow' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'DebuggerActions'","PreDebugSubclassResponsabilityAction class 	instanceVariableNames: ''"
EpUnifiedBrowserModel,"ComposableModel subclass: #EpUnifiedBrowserModel 	instanceVariableNames: 'logModel logNodesModel monitorLog refreshDeferrer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'EpiceaBrowsers-UI-Unified'","EpUnifiedBrowserModel class 	instanceVariableNames: ''"
EpMethodChange,"EpCodeChange subclass: #EpMethodChange 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Epicea-Model'","EpMethodChange class 	instanceVariableNames: ''"
SettingNode,"MorphTreeNodeModel subclass: #SettingNode 	instanceVariableNames: 'parentName pragma contents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Browser'","SettingNode class 	instanceVariableNames: ''"
KomitDirectoryRemote,"KomitRemote subclass: #KomitDirectoryRemote 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Komitter-Models'","KomitDirectoryRemote class 	instanceVariableNames: ''"
SlotExampleMovie,"Object subclass: #SlotExampleMovie 	instanceVariableNames: 'name year director actors' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Tests-Associations'","SlotExampleMovie class 	instanceVariableNames: ''"
IcePharoFogbugzModel,"ComposableModel subclass: #IcePharoFogbugzModel 	instanceVariableNames: 'issueNumberText issueText createButton issue acceptBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Plugin-Pharo-FogBugz'","IcePharoFogbugzModel class 	instanceVariableNames: ''"
ClassFactoryForTestCase,"Object subclass: #ClassFactoryForTestCase 	instanceVariableNames: 'createdClasses createdTraits createdSilently' 	classVariableNames: 'Counter' 	poolDictionaries: '' 	category: 'SUnit-Core-Extensions'","ClassFactoryForTestCase class 	instanceVariableNames: ''"
RBBlockNode,"RBValueNode subclass: #RBBlockNode 	instanceVariableNames: 'left right colons arguments bar body scope' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Nodes'","RBBlockNode class 	instanceVariableNames: ''"
InvalidSlotName,"ClassBuilderWarning subclass: #InvalidSlotName 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Exception'","InvalidSlotName class 	instanceVariableNames: ''"
KomitNode,"TreeNodeModel subclass: #KomitNode 	instanceVariableNames: 'silent' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Komitter-UI'","KomitNode class 	instanceVariableNames: ''"
SmallIdentityDictionaryTest,"SmallDictionaryTest subclass: #SmallIdentityDictionaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Unordered'","SmallIdentityDictionaryTest class 	instanceVariableNames: ''"
TemporaryVariableTest,"TestCase subclass: #TemporaryVariableTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Tests'","TemporaryVariableTest class 	instanceVariableNames: ''"
FreeTypeEmbeddedFileInfo,"FreeTypeFileInfoAbstract subclass: #FreeTypeEmbeddedFileInfo 	instanceVariableNames: 'fileContents baseName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'EmbeddedFreeType'","FreeTypeEmbeddedFileInfo class 	instanceVariableNames: ''"
MetacelloScriptEnsureProjectLoadedForDevelopment,"MetacelloScriptNotification subclass: #MetacelloScriptEnsureProjectLoadedForDevelopment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Scripts'","MetacelloScriptEnsureProjectLoadedForDevelopment class 	instanceVariableNames: ''"
