Class Name,Instance Side Definition,Class Side Definition
MorphDeleted,"MorphAnnouncement subclass: #MorphDeleted 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Announcements'","MorphDeleted class 	instanceVariableNames: ''"
MetacelloVersionConstructor,"MetacelloAbstractVersionConstructor subclass: #MetacelloVersionConstructor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Constructors'","MetacelloVersionConstructor class 	instanceVariableNames: ''"
TextClassLink,"TextLink subclass: #TextClassLink 	instanceVariableNames: 'className' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Core'","TextClassLink class 	instanceVariableNames: ''"
ProfStefHelpTutorialBuilderTest,"TestCase subclass: #ProfStefHelpTutorialBuilderTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Tests'","ProfStefHelpTutorialBuilderTest class 	instanceVariableNames: ''"
ViewHierarchyExplorer,"ObjectExplorer subclass: #ViewHierarchyExplorer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Explorer'","ViewHierarchyExplorer class 	instanceVariableNames: ''"
UITheme,"Object subclass: #UITheme 	instanceVariableNames: 'settings forms soundTheme focusIndicator' 	classVariableNames: 'Builder Current' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Themes'","UITheme class 	instanceVariableNames: 'defaultSettings'"
AbstractKeyPressedPlugin,"AbstractNautilusPlugin subclass: #AbstractKeyPressedPlugin 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Plugin'","AbstractKeyPressedPlugin class 	instanceVariableNames: ''"
FLClassWithRecursiveSubstitution,"Object subclass: #FLClassWithRecursiveSubstitution 	instanceVariableNames: 'index' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests-Mocks'","FLClassWithRecursiveSubstitution class 	instanceVariableNames: ''"
ISO88592TextConverter,"ByteTextConverter subclass: #ISO88592TextConverter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-TextConversion'","ISO88592TextConverter class 	instanceVariableNames: ''"
FalseTest,"ClassTestCase subclass: #FalseTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Objects'","FalseTest class 	instanceVariableNames: ''"
NBWin32Handle,"NBExternalObject subclass: #NBWin32Handle 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'NBWinConstants NBWinTypes' 	category: 'NativeBoost-Win32'","NBWin32Handle class 	instanceVariableNames: ''"
StartupLoader,"Object subclass: #StartupLoader 	instanceVariableNames: 'errors actions' 	classVariableNames: 'AllowStartupScript UniqueInstance' 	poolDictionaries: '' 	category: 'StartupPreferences'","StartupLoader class 	instanceVariableNames: ''"
DoItDeclaration,"CodeDeclaration subclass: #DoItDeclaration 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CodeImport'","DoItDeclaration class 	instanceVariableNames: ''"
ExampleSetTest,"TestCase subclass: #ExampleSetTest 	instanceVariableNames: 'full empty' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","ExampleSetTest class 	instanceVariableNames: ''"
HSVAColorSelectorMorph,"Morph subclass: #HSVAColorSelectorMorph 	instanceVariableNames: 'hsvMorph aMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","HSVAColorSelectorMorph class 	instanceVariableNames: ''"
FLPluggableSubstitutionTest,"FLSerializationTest subclass: #FLPluggableSubstitutionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLPluggableSubstitutionTest class 	instanceVariableNames: ''"
RBNamespaceTest,"RBRefactoringBrowserTest subclass: #RBNamespaceTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBNamespaceTest class 	instanceVariableNames: ''"
CustomParserTest,"TestCase subclass: #CustomParserTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompilerTests'","CustomParserTest class 	instanceVariableNames: ''"
Notification,"Exception subclass: #Notification 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","Notification class 	instanceVariableNames: ''"
LongTestCaseTestUnderTest,"LongTestCase subclass: #LongTestCaseTestUnderTest 	instanceVariableNames: '' 	classVariableNames: 'RunStatus' 	poolDictionaries: '' 	category: 'SUnit-Core-Extensions'","LongTestCaseTestUnderTest class 	instanceVariableNames: ''"
HashTableSizes,"Object subclass: #HashTableSizes 	instanceVariableNames: 'candidate goodPrimes primesToAvoid valuesNotToDivide limit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","HashTableSizes class 	instanceVariableNames: 'sizes'"
SmallIntegerTest,"ClassTestCase subclass: #SmallIntegerTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Numbers'","SmallIntegerTest class 	instanceVariableNames: ''"
KMMockMorph,"Morph subclass: #KMMockMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Tests-Mocks'","KMMockMorph class 	instanceVariableNames: ''"
ParseNodeEnumerator,"ParseNodeVisitor subclass: #ParseNodeEnumerator 	instanceVariableNames: 'theBlock theSelectBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Support'","ParseNodeEnumerator class 	instanceVariableNames: ''"
BracketSliderMorph,"PluggableSliderMorph subclass: #BracketSliderMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","BracketSliderMorph class 	instanceVariableNames: ''"
RPackageOrganizer,"Object subclass: #RPackageOrganizer 	instanceVariableNames: 'classPackageMapping packages classExtendingPackagesMapping debuggingName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Core'","RPackageOrganizer class 	instanceVariableNames: 'default'"
ZnPercentEncoder,"Object subclass: #ZnPercentEncoder 	instanceVariableNames: 'characterEncoder safeSet' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Core'","ZnPercentEncoder class 	instanceVariableNames: ''"
FontFamilyMemberAbstract,"Object subclass: #FontFamilyMemberAbstract 	instanceVariableNames: 'family styleName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-FontManager'","FontFamilyMemberAbstract class 	instanceVariableNames: ''"
Cursor,"Form subclass: #Cursor 	instanceVariableNames: '' 	classVariableNames: 'BlankCursor BottomLeftCursor BottomRightCursor CornerCursor CrossHairCursor CurrentCursor DownCursor MarkerCursor MenuCursor MoveCursor NormalCursor OriginCursor OverEditableText ReadCursor ResizeLeftCursor ResizeTopCursor ResizeTopLeftCursor ResizeTopRightCursor RightArrowCursor SquareCursor TargetCursor TopLeftCursor TopRightCursor UpCursor WaitCursor WebLinkCursor WriteCursor XeqCursor' 	poolDictionaries: '' 	category: 'Graphics-Display Objects'","Cursor class 	instanceVariableNames: ''"
HandMorph,"Morph subclass: #HandMorph 	instanceVariableNames: 'mouseFocus keyboardFocus eventListeners mouseListeners keyboardListeners mouseClickState mouseOverHandler lastMouseEvent targetOffset damageRecorder cacheCanvas cachedCanvasHasHoles temporaryCursor temporaryCursorOffset hardwareCursor hasChanged savedPatch lastEventBuffer lastKeyScanCode combinedChar eventSource lastSystemEvent captureBlock recentModifiers' 	classVariableNames: 'DoubleClickTime EventSource EventStats NormalCursor PasteBuffer ShowEvents' 	poolDictionaries: 'EventSensorConstants' 	category: 'Morphic-Kernel'","HandMorph class 	instanceVariableNames: ''"
ZdcSocketStream,"ZdcOptimizedSocketStream subclass: #ZdcSocketStream 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zodiac-Core'","ZdcSocketStream class 	instanceVariableNames: ''"
CustomQuestionDialogWindow,"QuestionDialogWindow subclass: #CustomQuestionDialogWindow 	instanceVariableNames: 'yesButton noButton cancelButton' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","CustomQuestionDialogWindow class 	instanceVariableNames: ''"
FindReplaceService,"Model subclass: #FindReplaceService 	instanceVariableNames: 'findText replaceText caseSensitive entireWordsOnly wrapAround searchBackwards findStartIndex isRegex' 	classVariableNames: 'Singleton' 	poolDictionaries: '' 	category: 'Text-Edition'","FindReplaceService class 	instanceVariableNames: ''"
LiteralDictionaryTest,"DictionaryTest subclass: #LiteralDictionaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Unordered'","LiteralDictionaryTest class 	instanceVariableNames: ''"
HelpBrowser,"Object subclass: #HelpBrowser 	instanceVariableNames: 'rootTopic window treeMorph contentMorph helpTopicCache' 	classVariableNames: 'DefaultHelpBrowser' 	poolDictionaries: '' 	category: 'HelpSystem-Core-UI'","HelpBrowser class 	instanceVariableNames: ''"
ClassDescription,"Behavior subclass: #ClassDescription 	uses: TClassAndTraitDescription - {#removeSelector:} 	instanceVariableNames: 'instanceVariables organization' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Classes'","ClassDescription class 	uses: TClassAndTraitDescription classTrait 	instanceVariableNames: ''"
TextConverter,"Object subclass: #TextConverter 	instanceVariableNames: 'latin1Map latin1Encodings' 	classVariableNames: '' 	poolDictionaries: 'EventSensorConstants' 	category: 'Multilingual-TextConversion'","TextConverter class 	instanceVariableNames: 'latin1Map latin1Encodings'"
ZipWriteStreamTests,"TestCase subclass: #ZipWriteStreamTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Compression'","ZipWriteStreamTests class 	instanceVariableNames: ''"
SystemReporter,"Object subclass: #SystemReporter 	instanceVariableNames: 'categories categoriesSelected report tinyBenchmarksResult categoryList testRunner' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-SystemReporter'","SystemReporter class 	instanceVariableNames: ''"
NOCCompletionTable,"Object subclass: #NOCCompletionTable 	instanceVariableNames: 'table numberofEntries' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NOCompletion-Model'","NOCCompletionTable class 	instanceVariableNames: 'classTable table'"
ComposableMorph,"MorphicModel subclass: #ComposableMorph 	uses: TEasilyThemed 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","ComposableMorph class 	uses: TEasilyThemed classTrait 	instanceVariableNames: ''"
MetacelloVersionSpec,"MetacelloSpec subclass: #MetacelloVersionSpec 	instanceVariableNames: 'versionString blessing description author timestamp preLoadDoIt postLoadDoIt' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Specs'","MetacelloVersionSpec class 	instanceVariableNames: ''"
ClippingCanvas,"PluggableCanvas subclass: #ClippingCanvas 	instanceVariableNames: 'canvas clipRect' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","ClippingCanvas class 	instanceVariableNames: ''"
DisplayScreen,"Form subclass: #DisplayScreen 	instanceVariableNames: 'clippingBox extraRegions' 	classVariableNames: 'DeferringUpdates DisplayChangeSignature LastScreenModeSelected ScreenSave' 	poolDictionaries: '' 	category: 'Graphics-Display Objects'","DisplayScreen class 	instanceVariableNames: ''"
AllProtocol,"Protocol subclass: #AllProtocol 	instanceVariableNames: 'protocolOrganizer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NewClassOrganizer'","AllProtocol class 	instanceVariableNames: ''"
MultiDisplayScanner,"MultiCharacterScanner subclass: #MultiDisplayScanner 	instanceVariableNames: 'bitBlt lineY runX foregroundColor backgroundColor fillBlt lineHeight paragraph paragraphColor morphicOffset ignoreColorChanges' 	classVariableNames: '' 	poolDictionaries: 'TextConstants' 	category: 'Text-Scanning'","MultiDisplayScanner class 	instanceVariableNames: ''"
KMComposedModifier,"KMModifier subclass: #KMComposedModifier 	instanceVariableNames: 'modifiers' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Shortcuts'","KMComposedModifier class 	instanceVariableNames: ''"
UTF16TextConverter,"TextConverter subclass: #UTF16TextConverter 	instanceVariableNames: 'useLittleEndian useByteOrderMark byteOrderMarkDone' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-TextConversion'","UTF16TextConverter class 	instanceVariableNames: ''"
TraitTest,"TraitsTestCase subclass: #TraitTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Traits'","TraitTest class 	instanceVariableNames: ''"
OrderedCollectionTest,"CollectionRootTest subclass: #OrderedCollectionTest 	uses: TEmptySequenceableTest + TAddTest + TSequencedElementAccessTest + TIncludesWithIdentityCheckTest + TCloneTest + TSetArithmetic + TRemoveForMultiplenessTest + TCreationWithTest + TCopyTest + TPutBasicTest + TIterateSequencedReadableTest + TSubCollectionAccess + TIndexAccess + TCopySequenceableWithReplacement + TCopyPartOfSequenceable + TCopySequenceableSameContents + TCopySequenceableWithOrWithoutSpecificElements - {#testForceToPaddingWith. #testForceToPaddingStartWith} + TPrintOnSequencedTest + TAsStringCommaAndDelimiterSequenceableTest + TConvertTest + TConvertAsSetForMultiplinessIdentityTest + TSequencedConcatenationTest + TBeginsEndsWith + TReplacementSequencedTest + TIndexAccessForMultipliness + TCopyPartOfSequenceableForMultipliness + TConvertAsSortedTest + TPutTest + TSequencedStructuralEqualityTest + TOccurrencesForMultiplinessTest 	instanceVariableNames: 'empty nonEmpty collectResult emptyButAllocatedWith20 otherCollection indexCollection elementExistsTwice collectionWithElement collectionOfFloat elementNotIn indexArray withoutEqualElements floatCollectionWithSameBeginingEnd duplicateElement collectionWithDuplicateElement collection5Elements collectionWith4Elements' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Sequenceable'","OrderedCollectionTest class 	uses: TEmptySequenceableTest classTrait + TAddTest classTrait + TSequencedElementAccessTest classTrait + TCloneTest classTrait + TCopyTest classTrait + TSetArithmetic classTrait + TCreationWithTest classTrait + TRemoveForMultiplenessTest classTrait + TPutBasicTest classTrait + TIterateSequencedReadableTest classTrait + TSubCollectionAccess classTrait + TIndexAccess classTrait + TCopySequenceableWithReplacement classTrait + TCopyPartOfSequenceable classTrait + TCopySequenceableSameContents classTrait + TCopySequenceableWithOrWithoutSpecificElements classTrait + TPrintOnSequencedTest classTrait + TAsStringCommaAndDelimiterSequenceableTest classTrait + TConvertTest classTrait + TSequencedConcatenationTest classTrait + TBeginsEndsWith classTrait + TReplacementSequencedTest classTrait + TIndexAccessForMultipliness classTrait + TCopyPartOfSequenceableForMultipliness classTrait + TConvertAsSortedTest classTrait + TPutTest classTrait + TIncludesWithIdentityCheckTest classTrait + TConvertAsSetForMultiplinessIdentityTest classTrait + TSequencedStructuralEqualityTest classTrait + TOccurrencesForMultiplinessTest classTrait 	instanceVariableNames: ''"
StandardSystemFontsTest,"TestCase subclass: #StandardSystemFontsTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-SystemTests-Support'","StandardSystemFontsTest class 	instanceVariableNames: ''"
ZnMimeTypeTests,"TestCase subclass: #ZnMimeTypeTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Tests'","ZnMimeTypeTests class 	instanceVariableNames: ''"
MCSmalltalkhubRepository,"MCHttpRepository subclass: #MCSmalltalkhubRepository 	instanceVariableNames: 'owner project' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Repositories'","MCSmalltalkhubRepository class 	instanceVariableNames: ''"
FreeTypeExternalMemory,"FT2Handle subclass: #FreeTypeExternalMemory 	instanceVariableNames: 'bytes' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-Base'","FreeTypeExternalMemory class 	instanceVariableNames: ''"
KeyChainViewer,"ComposableModel subclass: #KeyChainViewer 	instanceVariableNames: 'add edit keychain list remove ok' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KeyChain-UI'","KeyChainViewer class 	instanceVariableNames: ''"
FLProcessSerializationTest,"FLBasicSerializationTest subclass: #FLProcessSerializationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLProcessSerializationTest class 	instanceVariableNames: ''"
FileExistsException,"FileStreamException subclass: #FileExistsException 	instanceVariableNames: 'fileClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Files-Kernel'","FileExistsException class 	instanceVariableNames: ''"
DiskStore,"FileSystemStore subclass: #DiskStore 	instanceVariableNames: 'maxFileNameLength' 	classVariableNames: 'CurrentFS Primitives' 	poolDictionaries: '' 	category: 'FileSystem-Disk'","DiskStore class 	instanceVariableNames: ''"
