"version","package","class"
"3","Zinc-Character-Encoding-Core","ZnCharacterEncoder"
"3","Zinc-HTTP","ZnNetworkingUtils"
"3","Morphic-Base","UpdatingMenuItemMorph"
"3","Zinc-FileSystem","ZnStaticFileServerDelegate"
"3","Kernel","DateAndTime"
"3","Polymorph-Widgets","UIThemeWatery"
"3","Kernel","InstructionStream"
"3","System-CommandLine","SaveCommandLineHandler"
"3","AsmJit-Operands","AJMem"
"3","Spec-Examples","MethodBrowser"
"3","FuelCommandLineHandler","FLFuelCommandLineHandler"
"3","Text-Scanning","CompositionScanner"
"3","Spec-Core","TreeModel"
"3","Zinc-HTTP","ZnServer"
"3","Network-MIME","QuotedPrintableMimeConverter"
"3","Zinc-Character-Encoding-Core","ZnBufferedReadStream"
"3","Multilingual-TextConverterOtherLanguages","CP1253TextConverter"
"3","Kernel","ProtoObject"
"3","Multilingual-TextConverterOtherLanguages","ISO88597TextConverter"
"3","Polymorph-Widgets","UITheme"
"3","System-Caching","LRUCache"
"3","Kernel","DomainError"
"3","Zinc-HTTP","ZnEasy"
"3","KernelTests","FalseTest"
"3","Manifest-CriticBrowser","CriticToolbar"
"3","Deprecated30","Url"
"3","NewValueHolder","CollectionValueHolder"
"3","System-CommandLine","CommandLineHandler"
"3","Deprecated30","MIMEType"
"3","ClassOrganizer-Core","ClassOrganization"
"3","Manifest-CriticBrowser","CriticBrowser"
"3","Zinc-HTTP","ZnMultiThreadedServer"
"3","NonInteractiveTranscript","NonInteractiveTranscript"
"3","System-Announcements","ClassModifiedClassDefinition"
"3","System-Changes","ChangeSet"
"3","Text-Scanning","CharacterScanner"
"3","Spec-Core","TextInputFieldModel"
"3","Text-Scanning","CharacterBlockScanner"
"3","Kernel","MethodContext"
"3","Zinc-HTTP","ZnDefaultServerDelegate"
"3","Kernel","TimeStamp"
"3","Keymapping-KeyCombinations","KMNoShortcut"
"3","Spec-Core","NewListModel"
"3","Kernel","JobProgress"
"3","Tools","MetacelloConfigurationBrowser"
"3","AsmJit-x86","AJx87Register"
"3","NewValueHolder","SelectionValueHolder"
"3","Metacello-MC","MetacelloMCVersionValidator"
"3","FreeType","FontChooserMorph"
"3","Morphic-Core","PasteUpMorph"
"3","Kernel","Job"
"3","Spec-Core","TextModel"
"3","Metacello-Core","MetacelloBaseConfiguration"
"3","System-Support","SystemVersion"
"3","Kernel","Object"
"3","ProfStef-Core","ProfStef"
"3","Transcript","ThreadSafeTranscript"
"3","System-CommandLine","EvaluateCommandLineHandler"
"3","Kernel","ArithmeticError"
"3","NativeBoost-Core","NBExternalStructure"
"3","NewValueHolder","NewValueHolder"
"3","KernelTests","DateAndTimeTest"
"3","ConfigurationCommandLineHandler-Core","ConfigurationCommandLineHandler"
